iter	R2	RMSE
495	0.8778742178	16294435.67
496	0.8779051642	16292371.05
497	0.8779379405	16290184.06
498	0.8780057469	16285658.78
499	0.8781054433	16279002.91
500	0.8781372484	16276878.99
501	0.8782036939	16272440.92
502	0.878265591	16268305.55
503	0.8783902692	16259972.56
504	0.8784409033	16256587.16
505	0.8785525602	16249119.28
506	0.8786175303	16244772.35
507	0.8787649272	16234906.19
508	0.878858909	16228612.3
509	0.8789105572	16225152.42
510	0.8789854438	16220134.5
511	0.8790628777	16214944.25
512	0.8790910609	16213054.78
513	0.8791172736	16211297.21
514	0.8791783391	16207202.02
515	0.8792492608	16202444.55
516	0.8793078647	16198512.31
517	0.8793781839	16193792.73
518	0.8794288069	16190394.24
519	0.8795078453	16185086.7
520	0.8795594519	16181620.3
521	0.8795883462	16179679.16
522	0.8796272466	16177065.43
523	0.8796858535	16173126.82
524	0.8797159777	16171101.98
525	0.879735059	16169819.28
526	0.8798585153	16161517.7
527	0.8799789402	16153415.84
528	0.8800448975	16148976.7
529	0.8801062319	16144847.59
530	0.8801484673	16142003.64
531	0.8802086955	16137947.27
532	0.8802517555	16135046.55
533	0.880299163	16131852.35
534	0.8803328456	16129582.52
535	0.8803683857	16127187.17
536	0.8804443374	16122066.94
537	0.8805646004	16113956.18
538	0.8806836571	16105922.75
539	0.8807239666	16103201.92
540	0.8808264509	16096282.35
541	0.8809045685	16091005.97
542	0.8809896823	16085255.07
543	0.8810535531	16080938.15
544	0.8811537862	16074161.22
545	0.881212416	16070195.84
546	0.8813217682	16062797.28
547	0.8814096713	16056847.44
548	0.8814460705	16054383.07
549	0.8814892857	16051456.74
550	0.8816246146	16042289.44
551	0.8816796725	16038558.27
552	0.8817344126	16034847.78
553	0.8817838732	16031494.41
554	0.8818333443	16028139.63
555	0.8818524544	16026843.53
556	0.8818756055	16025273.21
557	0.88193391	16021317.8
558	0.8820212923	16015387.91
559	0.8820527241	16013254.36
560	0.8821483662	16006760.56
